0 0 4 15 13 0 16 0 0 0 10 8 0 0 7 11
2 5 7 14 15 0 0 0 9 3 0 0 0 0 4 0
0 0 0 0 0 8 0 14 0 0 12 0 16 9 0 15
0 3 0 16 0 10 0 7 15 0 4 13 12 0 2 0
16 8 3 0 0 0 0 15 0 0 6 0 0 10 11 9
0 0 1 0 6 9 10 2 0 0 0 0 0 13 14 0
5 0 6 0 0 13 14 0 1 15 0 10 3 4 0 16
0 10 0 0 4 16 3 8 0 0 7 12 0 15 0 2
0 14 2 3 16 5 13 0 8 7 11 0 4 12 0 0
0 0 10 8 0 2 0 3 4 0 0 0 0 0 15 0
11 13 0 5 10 0 15 0 3 0 0 1 0 14 8 7
4 9 15 0 0 0 12 1 10 0 0 0 0 0 5 0
0 0 12 0 0 0 9 10 0 5 0 4 15 0 0 6
0 11 0 0 1 0 0 0 0 0 9 2 5 7 0 0
10 4 0 0 0 12 0 16 0 1 15 7 0 3 0 0
15 0 0 2 0 0 11 6 13 8 16 3 0 1 10 12
